# Reference numbers from the STEER paper (ACL 2026, pages 31105-31133),
# "Rethinking Entropy Interventions in RLVR: An Entropy Change Perspective".
# Transcribed for comparison against results/summary.tsv, which
# scripts/collect_results.py emits in the same column shape.
#
# Metrics match collect_results.py: avg@32 for AIME24/AIME25/AMC23,
# avg@1 for MATH500/Minerva/Olympiad, avg@4 for LCB-v5. All percentages.
# Paper protocol: 200 rollout steps, checkpoint with best AIME24 selected,
# main-table rows averaged over two independent training runs, H20 cluster.
#
table	model	method	AIME24	AIME25	AMC23	MATH500	Minerva	Olympiad	Avg
T3	Qwen2.5-Math-7B	Base	13.8	5.3	44.6	39.6	9.9	13.8	21.2
T3	Qwen2.5-Math-7B	GRPO	28.0	14.3	66.2	78.6	37.3	40.9	44.2
T3	Qwen2.5-Math-7B	OPO	32.2	13.4	71.5	82.2	38.2	41.0	46.4
T3	Qwen2.5-Math-7B	Entro.Adv.	27.5	13.5	70.2	79.6	36.8	42.8	45.1
T3	Qwen2.5-Math-7B	Clip-Cov	32.5	12.9	68.4	78.0	40.8	41.3	45.7
T3	Qwen2.5-Math-7B	KL-Cov	32.8	14.1	64.2	78.8	37.1	39.4	44.4
T3	Qwen2.5-Math-7B	STEER	36.2	16.1	72.1	82.2	41.7	43.0	48.6
T12	Qwen2.5-Math-1.5B	Base	4.1	2.1	24.7	29.0	9.2	20.5	14.9
T12	Qwen2.5-Math-1.5B	GRPO	16.2	7.6	56.0	74.4	26.1	34.6	35.8
T12	Qwen2.5-Math-1.5B	OPO	14.8	9.0	58.2	72.2	26.1	35.9	36.0
T12	Qwen2.5-Math-1.5B	Entro.Adv.	15.0	9.1	55.7	70.2	26.8	34.9	35.3
T12	Qwen2.5-Math-1.5B	Clip-Cov	14.7	8.4	56.0	72.8	26.4	34.9	35.5
T12	Qwen2.5-Math-1.5B	STEER	17.4	9.7	61.6	75.5	28.2	36.6	38.2
T4	Qwen2.5-14B	Base	3.9	2.6	25.8	52.6	15.4	23.0	20.6
T4	Qwen2.5-14B	GRPO	17.2	13.2	66.3	80.6	38.0	42.2	42.9
T4	Qwen2.5-14B	OPO	17.8	12.6	68.2	78.6	37.7	42.6	42.9
T4	Qwen2.5-14B	Entro.Adv.	14.6	9.8	65.6	78.8	36.5	40.9	41.0
T4	Qwen2.5-14B	Clip-Cov	14.1	13.6	59.8	78.2	38.6	43.2	41.2
T4	Qwen2.5-14B	STEER	19.3	14.3	70.3	81.4	39.4	46.7	45.2
T6	Qwen2.5-Math-7B-extreme	GRPO	31.6	12.8	66.7	79.0	39.3	40.1	44.9
T6	Qwen2.5-Math-7B-extreme	Entro.Adv.	34.8	13.4	64.3	77.6	37.6	39.9	44.6
T6	Qwen2.5-Math-7B-extreme	Entro.Loss	32.7	14.7	71.3	79.0	36.8	41.4	46.0
T6	Qwen2.5-Math-7B-extreme	Clip-Cov	30.4	14.0	72.3	79.6	37.1	41.7	45.8
T6	Qwen2.5-Math-7B-extreme	STEER	36.1	16.0	76.3	80.5	39.5	42.3	48.5
F22	Qwen2.5-Math-7B-RLOO	RLOO	31.5	14.7	68.8	80.6	37.5	41.7	45.8
F22	Qwen2.5-Math-7B-RLOO	RLOO+STEER	33.7	15.1	70.4	81.0	37.5	42.9	46.8
F22	Qwen2.5-Math-7B-OPO	OPO	32.2	13.4	71.5	82.2	38.2	41.0	46.4
F22	Qwen2.5-Math-7B-OPO	OPO+STEER	33.3	15.7	70.8	81.4	40.5	43.5	47.5
