lam	seed	status	final_entropy	branch_gap	mean@16	best@16	steps	minutes
0.0	1	ok	0.6120	na	0.5345	0.7859	100	168
0.25	1	ok	0.3950	0.1120	0.5349	0.7863	100	349
0.5	1	ok	0.4800	-0.1080	0.5439	0.7832	100	474
1.0	1	ok	0.3560	0.0300	0.5333	0.7778	100	472
grpo	1	fail	0.2340	na	0.5317	0.7911	100	177
grpo	2	fail	0.3160	na	0.5415	0.7979	100	176
weight0.5	1	ok	0.5490	0.0030	0.5397	0.7901	100	467
paper0.0	1	ok	0.1770	na	0.5441	0.7806	100	179
thm0.0	1	ok	0.1890	na	0.5481	0.7840	100	177
paper0.5	1	ok	0.1860	0.0980	0.5410	0.7874	100	471
thm0.5	1	ok	0.1709	0.0871	0.5380	0.7766	100	473
